index,name,surname,party,colour,linked,note
ADEL,Steve,GEORGANAS,ALP,#ed0011,true,
ASTN,Alan,TUDGE,LIB,#083cdd,false,Tudge retired on 17 Feb 2023. At subsequent by-election on 1 Apr 2023 Mary Doyle (ALP) elected.
BASS,Bridget,ARCHER,LIB,#083cdd,true,
BDGO,Lisa,CHESTERS,ALP,#ed0011,true,
BEAN,David,SMITH,ALP,#ed0011,false,
BFLD,Paul,FLETCHER,LIB,#083cdd,false,
BLAR,Shayne,NEUMANN,ALP,#ed0011,false,
BLRT,Catherine,KING,ALP,#ed0011,true,
BLXD,Jason,CLARE,ALP,#ed0011,false,
BNKS,David,COLEMAN,LIB,#083cdd,false,
BNLG,Jerome,LAXALE,ALP,#ed0011,false,
BNNR,Ross,VASTA,LNP,#1983f7,false,
BRCE,Julian,HILL,ALP,#ed0011,false,
BRDN,Gavin,PEARCE,LIB,#083cdd,false,
BRIS,Stephen,BATES,GRN,#64d915,true,
BRKR,Tony,PASIN,LIB,#083cdd,false,
BRND,Madeleine,KING,ALP,#ed0011,false,
BRTN,Linda,BURNEY,ALP,#ed0011,false,
BRWA,Julian,LEESER,LIB,#083cdd,true,
BTHY,Louise,MILLER-FROST,ALP,#ed0011,false,
BURT,Matt,KEOGH,ALP,#ed0011,false,
BWMN,Henry,PIKE,LNP,#1983f7,false,
CANB,Alicia,PAYNE,ALP,#ed0011,true,
CGHM,Alison,BYRNES,ALP,#ed0011,false,
CGMT,Libby,COKER,ALP,#ed0011,false,
CHFY,Ed,HUSIC,ALP,#ed0011,false,
CHSM,Carina,GARLAND,ALP,#ed0011,false,
CLRE,Andrew,GEE,NAT,#008033,false,Gee resigned from National Party (NAT) 23 Dec 2022 to sit as an Independent (IND).
CLRK,Andrew,WILKIE,IND,#9c9c9c,false,
CLWL,Maria,VAMVAKINOU,ALP,#ed0011,false,
CNNG,Andrew,HASTIE,LIB,#083cdd,false,
COOK,Scott,MORRISON,LIB,#083cdd,false,Morrison retired on 28 Feb 2024; at subsequent by-election 13 Apr 2024 Simon Kennedy (LIB) elected.
COWN,Anne,ALY,ALP,#ed0011,false,
CPCA,Michelle,LANDRY,LNP,#1983f7,true,
CPER,Ged,KERNEY,ALP,#ed0011,false,
CRIO,Richard,MARLES,ALP,#ed0011,true,
CRTN,Kate,CHANEY,IND,#9c9c9c,false,
CSEY,Aaron,VIOLI,LIB,#083cdd,false,
CWPR,Pat,CONAGHAN,NAT,#008033,false,
DBLL,Emma,MCBRIDE,ALP,#ed0011,false,
DEKN,Michael,SUKKAR,LIB,#083cdd,false,
DKLY,Peta,MURPHY,ALP,#ed0011,false,Murphy died 4 Dec 2023. At subseqent by-election on 2 Mar 2024 Jodie Belyea (ALP) elected.
DKSN,Peter,DUTTON,LNP,#1983f7,false,
DRAK,Melissa,PRICE,LIB,#083cdd,false,
DWSN,Andrew,WILCOX,LNP,#1983f7,false,
EDMO,Kristy,MCBAIN,ALP,#ed0011,true,
FDDN,Stuart,ROBERT,LNP,#1983f7,false,Robert retired on 18 May 2023; at subsequent by-election on 15 July 2023 Cameron Caldwell (LIB) elected.
FFAX,Ted,O'BRIEN,LNP,#1983f7,false,
FKLN,Julie,COLLINS,ALP,#ed0011,true,
FLND,Zoe,MCKENZIE,LIB,#083cdd,true,
FLYN,Colin,BOYCE,LNP,#1983f7,false,
FNNR,Andrew,LEIGH,ALP,#ed0011,false,
FRDE,Bert,VAN MANEN,LNP,#1983f7,false,
FREM,Josh,WILSON,ALP,#ed0011,true,
FRRR,Sussan,LEY,LIB,#083cdd,false,
FRSR,Daniel,MULINO,ALP,#ed0011,false,
FRST,Nola,MARINO,LIB,#083cdd,false,
FSHR,Andrew,WALLACE,LNP,#1983f7,false,
FWLR,Dai,LE,IND,#9c9c9c,false,
GDST,Zoe,DANIEL,IND,#9c9c9c,false,
GIPP,Darren,CHESTER,NAT,#008033,true,
GLBD,Tim,WATTS,ALP,#ed0011,true,
GLMR,Fiona,PHILLIPS,ALP,#ed0011,false,
GREY,Rowan,RAMSEY,LIB,#083cdd,false,
GRFF,Max,CHANDLER-MATHER,GRN,#64d915,false,
GROO,Garth,HAMILTON,LNP,#1983f7,false,
GRTN,Brendan,O'CONNOR,ALP,#ed0011,false,
GRWY,Michelle,ROWLAND,ALP,#ed0011,false,
GYDL,Anthony,ALBANESE,ALP,#ed0011,false,
HGHS,Jenny,WARE,LIB,#083cdd,false,
HGNS,Michelle,ANANDA-RAJAH,ALP,#ed0011,false,
HKLR,Keith,PITT,LNP,#1983f7,false,Pitt retired 19 Jan 2025. No by-election held due to timing with general election.
