index,name,surname,party,colour,linked,note
ADEL,Steve,GEORGANAS,ALP,#ed0011,TRUE,
ASTN,Alan,TUDGE,LIB,#083cdd,,
BASS,Bridget,ARCHER,LIB,#083cdd,TRUE,
BDGO,Lisa,CHESTERS,ALP,#ed0011,TRUE,
BEAN,David,SMITH,ALP,#ed0011,,
BFLD,Paul,FLETCHER,LIB,#083cdd,,
BLAR,Shayne Kenneth,NEUMANN,ALP,#ed0011,,
BLRT,Catherine,KING,ALP,#ed0011,TRUE,
BLXD,Jason,CLARE,ALP,#ed0011,,
BNKS,David,COLEMAN,LIB,#083cdd,FALSE,
BNLG,John,ALEXANDER,LIB,#083cdd,,
BNNR,Ross,VASTA,LNP,#1983f7,,
BRCE,Julian,HILL,ALP,#ed0011,,
BRDN,Gavin,PEARCE,LIB,#083cdd,,
BRIS,Trevor,EVANS,LNP,#1983f7,TRUE,
BRKR,Tony,PASIN,LIB,#083cdd,FALSE,
BRND,Madeleine,KING,ALP,#ed0011,,
BRTN,Linda,BURNEY,ALP,#ed0011,,
BRWA,Julian,LEESER,LIB,#083cdd,TRUE,
BTHY,Nicolle,FLINT,LIB,#083cdd,,
BURT,Matt,KEOGH,ALP,#ed0011,,
BWMN,Andrew,LAMING,LNP,#1983f7,,
CANB,Alicia,PAYNE,ALP,#ed0011,TRUE,
CGHM,Sharon,BIRD,ALP,#ed0011,,
CGMT,Libby,COKER,ALP,#ed0011,FALSE,
CHFY,Ed,HUSIC,ALP,#ed0011,,
CHSM,Gladys,LIU,LIB,#083cdd,,
CLRE,Andrew,GEE,NAT,#008033,FALSE,
CLRK,Andrew,WILKIE,IND,#9c9c9c,,
CLWL,Maria,VAMVAKINOU,ALP,#ed0011,,
CNNG,Andrew,HASTIE,LIB,#083cdd,FALSE,
COOX,Scott,MORRISON,LIB,#083cdd,,
COWN,Anne,ALY,ALP,#ed0011,,
CPCA,Michelle,LANDRY,LNP,#1983f7,TRUE,
CPER,Ged,KEARNEY,ALP,#ed0011,,
CRIO,Richard,MARLES,ALP,#ed0011,TRUE,
CRTN,Celia,HAMMOND,LIB,#083cdd,,
CSEY,Tony,SMITH,LIB,#083cdd,FALSE,
CWPR,Pat,CONAGHAN,NAT,#008033,,
DBLL,Emma,McBRIDE,ALP,#ed0011,,
DEKN,Michael,SUKKAR,LIB,#083cdd,,
DKLY,Peta,MURPHY,ALP,#ed0011,,
DKSN,Peter,DUTTON,LNP,#1983f7,,
DRAK,Melissa,PRICE,LIB,#083cdd,,
DWSN,George,CHRISTENSEN,LNP,#1983f7,,LNP to IND: 7 Apr 2022; CHRISTENSEN resigned from LNP; sat as IND
EDMO,Mike,KELLY,ALP,#ed0011,TRUE,RETIREMENT: 30 Apr 2020; KELLY retired | BY-ELECTION: 24 Aug 2020; Won by Kristy MCBAIN (ALP)
FDDN,Stuart,ROBERT,LNP,#1983f7,,
FFAX,Ted,O'BRIEN,LNP,#1983f7,,
FKLN,Julie,COLLINS,ALP,#ed0011,TRUE,
FLND,Greg,HUNT,LIB,#083cdd,TRUE,
FLYN,Ken,O'DOWD,LNP,#1983f7,,
FNNR,Andrew,LEIGH,ALP,#ed0011,,
FRAS,Daniel,MULINO,ALP,#ed0011,,
FRDE,Bert,VAN MANEN,LNP,#1983f7,TRUE,
FREM,Josh,WILSON,ALP,#ed0011,,
FRRR,Sussan,LEY,LIB,#083cdd,,
FRST,Nola,MARINO,LIB,#083cdd,,
FSHR,Andrew,WALLACE,LNP,#1983f7,,
FWLR,Chris,HAYES,ALP,#ed0011,,
GDST,Tim,WILSON,LIB,#083cdd,,
GIPP,Darren,CHESTER,NAT,#008033,TRUE,
GLBD,Tim,WATTS,ALP,#ed0011,TRUE,
GLMR,Fiona,PHILLIPS,ALP,#ed0011,,
GREY,Rowan,RAMSEY,LIB,#083cdd,,
GRFF,Terri,BUTLER,ALP,#ed0011,,
GROO,John,McVEIGH,LNP,#1983f7,,RETIREMENT: 18 SEP 2020; MCVEIGH retired | BY-ELECTION: 28 Nov 2020; Won by Garth HAMILTON (LNP)
GRTN,Brendan,O'CONNOR,ALP,#ed0011,,
GRWY,Michelle,ROWLAND,ALP,#ed0011,,
GYDL,Anthony,ALBANESE,ALP,#ed0011,,
HGHS,Craig,KELLY,LIB,#083cdd,,LIB to IND: 23 Feb 2021; KELLY resigned from LIB; sat as IND | IND to UAP: 23 AUG 2021; KELLY joined UAP
HGNS,Katie,ALLEN,LIB,#083cdd,,
HKLR,Keith,PITT,LNP,#1983f7,,
HMSH,Mark,BUTLER,ALP,#ed0011,FALSE,
HNTR,Joel,FITZGIBBON,ALP,#ed0011,TRUE,
HOLT,Anthony,BYRNE,ALP,#ed0011,,
HRBT,Phillip,THOMPSON,LNP,#1983f7,FALSE,
HSLK,Ken,WYATT,LIB,#083cdd,,
HTHM,Clare,O'NEIL,ALP,#ed0011,,
HUME,Angus,TAYLOR,LIB,#083cdd,TRUE,
INDI,Helen,HAINES,IND,#9c9c9c,,
ISAA,Mark,DREYFUS,ALP,#ed0011,TRUE,
JAGA,Kate,THWAITES,ALP,#ed0011,,
KFDS,Matt,THISTLETHWAITE,ALP,#ed0011,,
KNDY,Bob,KATTER,KAP,#b26c2a,TRUE,
KOOY,Josh,FRYDENBERG,LIB,#083cdd,,
KSTN,Amanda,RISHWORTH,ALP,#ed0011,FALSE,
LALR,Joanne,RYAN,ALP,#ed0011,,
LCHT,Warren,ENTSCH,LNP,#1983f7,,
LDSY,Melissa,McINTOSH,LIB,#083cdd,,
LGMN,Terry,YOUNG,LNP,#1983f7,,
LLLY,Anika,WELLS,ALP,#ed0011,,
LNGI,Warren,SNOWDON,ALP,#ed0011,,
LTRB,Jason,WOOD,LIB,#083cdd,,
LYNE,David,GILLESPIE,NAT,#008033,FALSE,
LYNS,Brian,MITCHELL,ALP,#ed0011,,
MACQ,Susan,TEMPLEMAN,ALP,#ed0011,,
MAKN,Tony,ZAPPIA,ALP,#ed0011,FALSE,
MAYO,Rebekha,SHARKIE,CEN,#ff6300,,
MBYN,Bill,SHORTEN,ALP,#ed0011,,
MCEW,Rob,MITCHELL,ALP,#ed0011,FALSE,
MCNM,Josh,BURNS,ALP,#ed0011,,
MCRF,Angie,BELL,LNP,#1983f7,,
MCTH,Mike,FREELANDER,ALP,#ed0011,,
MELB,Adam,BANDT,GRN,#64d915,TRUE,
MKLR,Jason,FALINSKI,LIB,#083cdd,TRUE,
MLLE,Anne,WEBSTER,NAT,#008033,,
MMHN,Chris,BOWEN,ALP,#ed0011,TRUE,
MNSH,Russell,BROADBENT,LIB,#083cdd,,
MNZS,Kevin,ANDREWS,LIB,#083cdd,FALSE,
MOOR,Ian,GOODENOUGH,LIB,#083cdd,,
MPHS,Karen,ANDREWS,LNP,#1983f7,FALSE,
MRNA,David,LITTLEPROUD,LNP,#1983f7,FALSE,
MRTN,Graham,PERRETT,ALP,#ed0011,TRUE,
MTCH,Alex,HAWKE,LIB,#083cdd,FALSE,
NCHL,Damian,DRUM,NAT,#008033,,
NENG,Barnaby,JOYCE,NAT,#008033,,
NEWC,Sharon,CLAYDON,ALP,#ed0011,TRUE,
NSYD,Trent,ZIMMERMAN,LIB,#083cdd,TRUE,
OCNR,Rick,WILSON,LIB,#083cdd,TRUE,
OXLE,Milton,DICK,ALP,#ed0011,,
PAGE,Kevin,HOGAN,NAT,#008033,,
PATS,Meryl,SWANSON,ALP,#ed0011,,
PKES,Mark,COULTON,NAT,#008033,TRUE,
PMTA,Julie,OWENS,ALP,#ed0011,FALSE,
PRCE,Christian,PORTER,LIB,#083cdd,FALSE,
PRTH,Patrick,GORMAN,ALP,#ed0011,TRUE,
PTRI,Luke,HOWARTH,LNP,#1983f7,FALSE,
RCHM,Justine,ELLIOT,ALP,#ed0011,FALSE,
REID,Fiona,MARTIN,LIB,#083cdd,FALSE,
RNKN,Jim,CHALMERS,ALP,#ed0011,,
ROBN,Lucy,WICKS,LIB,#083cdd,TRUE,
RVRA,Michael,McCORMACK,NAT,#008033,,
RYAN,Julian,SIMMONDS,LNP,#1983f7,,
SCUL,Andrew,GILES,ALP,#ed0011,,
SHTL,Pat,CONROY,ALP,#ed0011,,
SLMN,Luke John,GOSLING,ALP,#ed0011,FALSE,
SPNC,Nick,CHAMPION,ALP,#ed0011,,RETIREMENT: 22 Feb 2022; CHAMPION  retired; Vacancy not filled as election imminent.
STLG,Vince,CONNELLY,LIB,#083cdd,,
STRT,James,STEVENS,LIB,#083cdd,,
SWAN,Steve,IRONS,LIB,#083cdd,TRUE,
SYDN,Tanya,PLIBERSEK,ALP,#ed0011,TRUE,
TGNY,Ben,MORTON,LIB,#083cdd,,
WATS,Tony,BURKE,ALP,#ed0011,TRUE,
WDBY,Llew,O'BRIEN,LNP,#1983f7,TRUE,
WGAH,Zali,STEGGALL,IND,#9c9c9c,,
WGHT,Scott,BUCHHOLZ,LNP,#1983f7,,
WHLM,Stephen,JONES,ALP,#ed0011,,
WLLS,Peter,KHALIL,ALP,#ed0011,TRUE,
WNNN,Dan,TEHAN,LIB,#083cdd,FALSE,
WRWA,Anne Maree,STANLEY,ALP,#ed0011,,
WWTH,Dave,SHARMA,LIB,#083cdd,,


